TeamNumber,Match,AutoAmps,AutoSpeaker,AutoLeave,AutoMiddle,TeleopAmps,TeleopSpeaker,Chain,Harmony,Trap,Park,Mobility
5104,54,0,1,True,False,0,2,False,False,False,False,True
1351,54,0,0,True,False,2,1,False,False,False,False,True
6238,54,0,1,False,False,0,2,False,False,False,False,False
668,54,0,0,False,False,0,2,False,False,False,False,False
3256,55,0,1,False,True,0,9,False,False,False,False,False
841,55,0,2,True,False,0,11,False,False,False,False,True
6348,55,0,0,True,False,0,0,False,False,False,False,True
100,55,0,0,False,False,5,3,False,False,False,False,False
8404,55,0,0,True,False,0,0,False,False,False,False,True
2367,55,0,0,False,False,0,0,False,False,False,False,False
2813,56,0,0,True,False,3,3,False,False,False,False,True
7413,56,0,0,False,False,0,6,False,False,False,False,False
3008,56,0,0,False,False,0,3,False,False,False,False,False
2035,56,0,0,True,False,0,0,False,False,False,False,True
1868,56,0,0,True,False,0,6,False,False,False,False,True
8546,56,0,0,False,False,0,0,False,False,False,False,False
6918,57,0,0,False,False,1,0,False,False,False,False,False
668,57,0,1,False,False,0,6,False,False,False,False,False
1678,57,0,5,True,False,5,4,False,False,False,False,True
4990,57,0,0,True,False,0,0,False,False,False,False,True
3189,57,0,0,True,False,1,0,False,False,False,False,True
972,57,0,0,True,True,1,7,False,False,False,False,True
5027,58,0,0,False,False,0,0,False,False,False,False,False
3309,58,0,0,True,False,3,0,False,False,False,False,True
3859,58,0,1,False,False,0,4,False,False,False,False,False
6348,58,0,0,True,False,0,0,False,False,False,False,True
581,58,0,2,True,True,2,8,False,False,False,False,True
9504,58,0,0,False,False,0,1,False,False,False,False,False
2367,59,0,0,False,False,2,0,False,False,False,False,False
2473,59,0,1,True,False,0,8,False,False,False,False,True
1967,59,0,0,False,False,0,7,False,False,False,False,False
9114,59,0,2,True,False,0,4,False,False,False,False,True
987,59,0,2,True,True,0,9,False,False,False,False,True
5104,59,0,1,True,True,0,3,False,False,False,False,True
2288,60,0,4,True,True,4,1,False,False,False,False,True
3008,60,0,0,False,False,0,5,False,False,False,False,False
9470,60,0,2,True,False,0,3,False,False,False,False,True
8546,60,0,0,False,False,0,0,False,False,False,False,False
6238,60,0,0,False,False,0,0,False,False,False,False,False
7419,60,0,1,False,False,0,6,False,False,False,False,False
9125,61,0,1,False,False,0,5,False,False,False,False,False
1351,61,0,1,False,False,4,1,False,False,False,False,False
8404,61,0,2,True,False,2,0,False,False,False,False,True
100,61,0,0,False,False,0,7,False,False,False,False,False
